Felicia Dorothea Hemans,Joanna Baillie,James Hogg,Sir Walter Scott (1st Baronet),Percy Bysshe Shelley,William Wordsworth,,,,,,,,,,,,,,,,,,,
George Gordon Byron (6th Baron Byron),Joanna Baillie,Marguerite Gardiner (Countess of Blessington),William Lisle Bowles,Samuel Taylor Coleridge,John Galt,William Gifford,James Hogg,Leigh Hunt,Letitia Elizabeth Landon,Matthew Gregory Lewis,Charles Robert Maturin,Thomas Moore,Sir Walter Scott (1st Baronet),Percy Bysshe Shelley,Mary Wollstonecraft,,,,,,,,,
Henry Mackenzie,Joanna Baillie,Robert Burns,Thomas Campbell,Susan Edmonstone Ferrier,John Home,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,
Anna Laetitia Barbauld,Joanna Baillie,Samuel Taylor Coleridge,Maria Edgeworth,Amelia Opie,Ann Radcliffe,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,
Thomas Campbell,Joanna Baillie,William Lisle Bowles,George Crabbe,Henry Mackenzie,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,,
Paul Scott,John Braine,,,,,,,,,,,,,,,,,,,,,,,
Mary Gladys Webb,John Buchan (1st Baron Tweedsmuir),G. K. Chesterton,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bowen,John Buchan (1st Baron Tweedsmuir),Rosamond Nina Lehmann,Dame Rose Macaulay,Sean O'Faolain,Elizabeth Taylor,Virginia Woolf,,,,,,,,,,,,,,,,,,
Robert Bloomfield,John Clare,George Crabbe,Charles Lamb,James Montgomery,Robert Southey,,,,,,,,,,,,,,,,,,,
William Hazlitt,John Clare,Samuel Taylor Coleridge,Thomas Holcroft,Leigh Hunt,John Keats,Charles Lamb,Coventry Kersey Dighton Patmore,William Wordsworth,,,,,,,,,,,,,,,,
Samuel Foote,John Cleland,Richard Cumberland,Laurence Sterne,,,,,,,,,,,,,,,,,,,,,
Henry Williamson,John Galsworthy,,,,,,,,,,,,,,,,,,,,,,,
James Macpherson,John Home,,,,,,,,,,,,,,,,,,,,,,,
William Collins,John Home,Samuel Johnson,John Langhorne,James Thomson,Joseph Warton,Thomas Warton the Younger,,,,,,,,,,,,,,,,,,
Roy Fuller,John Lehmann,,,,,,,,,,,,,,,,,,,,,,,
W. H. Hudson,Joseph Conrad,,,,,,,,,,,,,,,,,,,,,,,
Arthur Symons,Joseph Conrad,Ernest Dowson,Sir Edmund Gosse,Lionel Johnson,James Joyce,Wyndham Lewis,Walter Pater,William Butler Yeats,,,,,,,,,,,,,,,,
John Galsworthy,Joseph Conrad,Henry Williamson,,,,,,,,,,,,,,,,,,,,,,
Ford Madox Ford,Joseph Conrad,Norman Douglas,Thomas Hardy,James Joyce,D. H. Lawrence,Wyndham Lewis,Dorothy M. Richardson,Christina Rossetti,Dante Gabriel Rossetti,H. G. Wells,William Butler Yeats,,,,,,,,,,,,,
Anthony Hope,Kenneth Grahame,Robert Louis Stevenson,,,,,,,,,,,,,,,,,,,,,,
William Ernest Henley,Kenneth Grahame,Thomas Hardy,Rudyard Kipling,Alice Meynell,George Bernard Shaw,Robert Louis Stevenson,H. G. Wells,Oscar Wilde,William Butler Yeats,,,,,,,,,,,,,,,
Richard Brinsley Butler Sheridan,Lady Anne Barnard,David Garrick,Samuel Johnson,Sheridan Le Fanu,Thomas Moore,,,,,,,,,,,,,,,,,,,
